"Description","p.adjust","name"
"DNA replication",1.72840080314907e-09,"Up1Hvs5H"
"Cell cycle",1.04810921298715e-05,"Up1Hvs5H"
"Propanoate metabolism",0.000268801692145689,"Down1Hvs5H"
"Valine, leucine and isoleucine degradation",0.000986335775869975,"Down1Hvs5H"
"Lysosome",0.000986335775869975,"Down1Hvs5H"
"Glyoxylate and dicarboxylate metabolism",0.000986335775869975,"Down1Hvs5H"
"Drug metabolism - other enzymes",0.00130340600650664,"Down1Hvs5H"
"Glycosaminoglycan degradation",0.00153586827935311,"Down1Hvs5H"
"Lipoic acid metabolism",0.00153586827935311,"Down1Hvs5H"
"Drug metabolism - cytochrome P450",0.00400800795000284,"Down1Hvs5H"
"Butanoate metabolism",0.00498860551898428,"Down1Hvs5H"
"Metabolism of xenobiotics by cytochrome P450",0.00498860551898428,"Down1Hvs5H"
"Carbon metabolism",0.00583501392814826,"Down1Hvs5H"
"Peroxisome",0.00583501392814826,"Down1Hvs5H"
"Pentose and glucuronate interconversions",0.0108293142519991,"Down1Hvs5H"
"Primary bile acid biosynthesis",0.0123398279708204,"Down1Hvs5H"
"Glycine, serine and threonine metabolism",0.0140614321914931,"Down1Hvs5H"
"Chemical carcinogenesis - DNA adducts",0.0145997807742681,"Down1Hvs5H"
"Biosynthesis of cofactors",0.020767190782721,"Down1Hvs5H"
"Ferroptosis",0.0215816397979879,"Up1Hvs3H"
"Ribosome",7.28305622233278e-20,"Up3Hvs5H"
"Coronavirus disease - COVID-19",6.91612934390758e-16,"Up3Hvs5H"
"Spliceosome",1.42133669493799e-06,"Up3Hvs5H"
"Ribosome biogenesis in eukaryotes",2.78596559413646e-06,"Up3Hvs5H"
"DNA replication",3.29646467152363e-05,"Up3Hvs5H"
"RNA degradation",0.000134969235074699,"Up3Hvs5H"
"Mismatch repair",0.00133322875300609,"Up3Hvs5H"
"Nucleotide excision repair",0.00238709093839879,"Up3Hvs5H"
"Lysosome",0.00301180378328449,"Up3Hvs5H"
"Base excision repair",0.00570643460263244,"Up3Hvs5H"
"ATP-dependent chromatin remodeling",0.0134294929981133,"Up3Hvs5H"
"Nucleocytoplasmic transport",0.0411374891049644,"Up3Hvs5H"
"Protein export",0.0416351658768402,"Up3Hvs5H"
