"Genes","ProtDesc","X1H_vs_H3H","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","SharedSignificant","unchanged","backgrdnd","barva"
"FN1","Fibronectin",-1.99,"Up in X1H",10.282,-58.511206183051,3.15490107335435e-14,24.9,127,5.22371225260759e-11,4.85783397896485e-12,3.38886120728197e-09,TRUE,TRUE,TRUE,"#D7D7D7"
"FTH1","Ferritin heavy chain",-4.29,"Up in X1H",8.961,-36.424399073852,3.88237440104723e-12,18.35,5,1.09390520623793e-09,1.72697531529795e-11,7.86039456970613e-09,TRUE,TRUE,TRUE,"#D7D7D7"
"TF","Serotransferrin",1.55,"Up in X3H",8.826,35.1583836191095,5.55479369943875e-12,21.49,58,1.49398701452632e-09,2.18362364868632e-10,4.7853707886211e-08,TRUE,TRUE,TRUE,"#D7D7D7"
"CEMIP","Cell migration-inducing and hyaluronan-binding protein",-1.68,"Up in X1H",8.605,-32.7649943662524,1.13360313459597e-11,20.71,41,2.48427027681642e-09,2.76583243918604e-10,5.46146784848068e-08,TRUE,TRUE,TRUE,"#D7D7D7"
"FDFT1","Squalene synthase",2.15,"Up in X3H",8.386,29.9794267801836,2.78181018087621e-11,21.37,19,4.11499271006114e-09,3.1224866120812e-10,5.56277594940283e-08,TRUE,TRUE,TRUE,"#D7D7D7"
"BDH1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial",2.48,"Up in X3H",8.276,28.8980935929144,4.0301442837836e-11,18.58,12,5.29919193936613e-09,3.17170875655655e-10,5.56277594940283e-08,TRUE,TRUE,TRUE,"#D7D7D7"
"ANXA4","Annexin A4",1.72,"Up in X3H",8.125,27.3702812641154,6.96825114906689e-11,21.82,34,7.49657128164159e-09,9.80829380271372e-10,1.13795440060112e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"NDRG1","Protein NDRG1",1.44,"Up in X3H",8.072,26.8832515303951,8.3494794702253e-11,19.24,7,8.47494180290447e-09,1.99637288445931e-10,4.54328398359452e-08,TRUE,TRUE,TRUE,"#D7D7D7"
"PBXIP1","Pre-B-cell leukemia transcription factor-interacting protein 1",1.38,"Up in X3H",7.799,24.7670819556226,1.90464172779872e-10,18.81,19,1.5872908596317e-08,2.45844008903343e-09,1.75823847195923e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"H6PD","GDH/6PGL endoplasmic bifunctional protein",1.46,"Up in X3H",7.631,23.4352714342361,3.31725007958298e-10,18.5,25,2.3366867524872e-08,3.87131777172812e-09,2.24574384856032e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"AFMID","Kynurenine formamidase",2.94,"Up in X3H",7.407,22.0705656645122,6.05107374844328e-10,15.78,6,3.92094045782577e-08,2.47333633808689e-09,1.75823847195923e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"UHRF1","E3 ubiquitin-protein ligase UHRF2;E3 ubiquitin-protein ligase UHRF1",-2.12,"Up in X1H",7.32,-21.3531569030039,8.42109030390099e-10,17.39,15,4.78826642434736e-08,5.34166045938088e-09,2.85234703911931e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"SLC13A5","Solute carrier family 13 member 5",1.52,"Up in X3H",7.282,20.9886752659062,1.00017474131415e-09,18.75,8,5.22063362663664e-08,4.02789697613814e-09,2.30659996665452e-07,TRUE,TRUE,TRUE,"#D7D7D7"
"MTARC2","Mitochondrial amidoxime reducing component 2",1.67,"Up in X3H",7.27,20.8438545092779,1.07177969216976e-09,16.92,7,5.37433935471905e-08,3.62398414065937e-09,2.2365487574076e-07,TRUE,TRUE,TRUE,"#D7D7D7"
