"Genes","ProtDesc","X3H_vs_X5H","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","SharedSignificant","unchanged","backgrdnd"
"MCM5","DNA replication licensing factor MCM5",-1.67,"Up in X3H",8.328,-40.8696751556356,7.94535076578679e-13,18.19,14,4.70126404811605e-09,2.36218758532311e-11,1.39770639423569e-07,TRUE,TRUE,TRUE
"MCM2","DNA replication licensing factor MCM2",-1.52,"Up in X3H",8.24,-37.476771447197,1.94593614227327e-12,17.66,19,5.75705207691547e-09,7.20893685260235e-11,2.13276396784241e-07,TRUE,TRUE,TRUE
"IGSF1","Immunoglobulin superfamily member 1",1.63,"Up in X5H",8.104,34.096607837851,5.16280059237255e-12,19.63,24,7.8618527045556e-09,1.4431909236695e-10,2.84645356511747e-07,TRUE,TRUE,TRUE
"SMC4","Structural maintenance of chromosomes protein 4",-1.66,"Up in X3H",7.682,-29.2999199276945,2.46127138564157e-11,17.18,16,2.08047754126303e-08,3.94362011749339e-10,4.31812427711423e-07,TRUE,TRUE,TRUE
"ACSM2A","Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2B, mitochondrial",1.6,"Up in X5H",7.347,26.2515200313106,7.60791244196869e-11,18.64,13,4.50160179191287e-08,9.03769491333111e-10,5.94178231135335e-07,TRUE,TRUE,TRUE
"MCM6","DNA replication licensing factor MCM6",-1.57,"Up in X3H",7.347,-26.4740024053092,6.97693577240801e-11,17.78,19,4.50160179191287e-08,1.04306759524359e-09,6.1718309610563e-07,TRUE,TRUE,TRUE
"NCAPG","Condensin complex subunit 3",-2.24,"Up in X3H",7.106,-24.241625491136,1.72069966305813e-10,15.47,9,7.83183069716534e-08,1.33748388795117e-09,7.19444742273372e-07,TRUE,TRUE,TRUE
"MCM3","DNA replication licensing factor MCM3",-1.38,"Up in X3H",7.059,-23.8102455067598,2.06767807063063e-10,18.08,22,8.73889367422961e-08,2.99113717000634e-09,1.36142758730212e-06,TRUE,TRUE,TRUE
"ADSS1","Adenylosuccinate synthetase isozyme 1",2.67,"Up in X5H",6.712,21.2623552755428,6.56429081675331e-10,16.34,9,1.94204543813647e-07,4.53369250384125e-09,1.67661615907679e-06,TRUE,TRUE,TRUE
"DBN1","Drebrin",-1.34,"Up in X3H",6.492,-19.2013759048268,1.84992036743556e-09,17.1,11,3.21940553356358e-07,1.34814382612724e-08,2.95443222933145e-06,TRUE,TRUE,TRUE
"PODXL","Podocalyxin",-1.86,"Up in X3H",5.698,-14.2279538235192,3.75705249842856e-08,16.96,4,2.00274591290106e-06,9.69631651583717e-08,8.15832799854409e-06,TRUE,TRUE,TRUE
