"Genes","ProtDesc","logFC","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val"
"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein",-3.01,"Up in X1H",10.783,-74.2646624472837,2.78700399845255e-15,20.01,86,1.64907026588437e-11,2.7780782229057e-13,5.572361477403e-10
"C3","Complement C3",-2.49,"Up in X1H",10.282,-57.8664143820303,3.5313248285331e-14,23.42,101,5.22371225260759e-11,2.38357369450094e-12,2.82072111007242e-09
"FN1","Fibronectin",-1.99,"Up in X1H",10.282,-58.511206183051,3.15490107335435e-14,24.9,127,5.22371225260759e-11,4.85783397896485e-12,3.38886120728197e-09
"VWA1","von Willebrand factor A domain-containing protein 1",-3.4,"Up in X1H",10.282,-57.9768289429882,3.46351233269581e-14,18.08,8,5.22371225260759e-11,2.8252635511592e-13,5.572361477403e-10
"COL6A3","Collagen alpha-3(VI) chain",-3.14,"Up in X1H",10.078,-54.0600383348178,7.05423509390023e-14,17.65,12,8.34798181012153e-11,1.1404003022031e-12,1.68693714703393e-09
"FGB","Fibrinogen beta chain",-1.67,"Up in X1H",9.917,-50.4215873778612,1.43232971610855e-13,24.31,28,1.21072784717347e-10,1.54700225972865e-11,7.62801030901204e-09
"LAMC1","Laminin subunit gamma-1",-2.01,"Up in X1H",9.917,-50.8867918034769,1.30469084210733e-13,18.69,30,1.21072784717347e-10,8.17342129545814e-12,4.39655761865689e-09
"C4BPA","C4b-binding protein alpha chain",-3.29,"Up in X1H",9.857,-49.0876654638087,1.88089960872578e-13,21.49,24,1.39116037310381e-10,3.69247085800297e-12,3.31221299625461e-09
"TGFBI","Transforming growth factor-beta-induced protein ig-h3",-3.02,"Up in X1H",9.785,-47.7403371954245,2.4955218661336e-13,21.02,24,1.64066698687917e-10,5.15459707039678e-12,3.38886120728197e-09
"DPYSL2","Dihydropyrimidinase-related protein 2",1.3,"Up in X3H",9.744,46.3687629341249,3.3554383547352e-13,21.12,29,1.80492079499711e-10,6.76553887647641e-11,2.50198084575693e-08
"TOP2A","DNA topoisomerase 2-alpha;DNA topoisomerase 2-alpha;DNA topoisomerase 2-beta",-2.01,"Up in X1H",9.744,-46.4816812199798,3.27356833006004e-13,20.05,10,1.80492079499711e-10,3.91845377282107e-12,3.31221299625461e-09
"APOB","Apolipoprotein B-100",-1.47,"Up in X1H",9.408,-42.6030705823409,7.92831128962926e-13,23.08,206,3.9093181583947e-10,8.80014456153484e-11,2.74055028266324e-08
"S","Large envelope protein",-2.96,"Up in X1H",9.325,-41.4817337764739,1.03923777643752e-12,22.85,4,4.73013071013909e-10,2.50376080484654e-13,5.572361477403e-10
"FABP1","Fatty acid-binding protein, liver",2.2,"Up in X3H",9.288,40.8380352934171,1.21790450979145e-12,23.29,8,5.14738641745429e-10,6.92544883089668e-12,4.09778807324156e-09
"KPNA2","Importin subunit alpha-1",-1.41,"Up in X1H",9.245,-40.1610144041236,1.44293476711866e-12,19.62,19,5.69189667802742e-10,7.58226766938301e-11,2.63907516469054e-08
"MKI67","Proliferation marker protein Ki-67",-2.51,"Up in X1H",9.238,-39.8432657073498,1.56397383157137e-12,18.15,40,5.78377072587986e-10,3.09972542416939e-11,1.31007680962931e-08
"LAMB1","Laminin subunit beta-1",-1.34,"Up in X1H",9.198,-39.2465962038676,1.82251733738359e-12,19.63,31,6.34343240311689e-10,1.50862733439566e-10,4.05752178982686e-08
"FGG","Fibrinogen gamma chain",-1.35,"Up in X1H",9.159,-38.6846108404236,2.10945663859916e-12,24.04,39,6.93425273921735e-10,1.75168217223519e-10,4.21933897837563e-08
"ACOX2","Peroxisomal acyl-coenzyme A oxidase 2",1.34,"Up in X3H",9.142,38.3309315333738,2.31527060664986e-12,18.5,25,7.21024009449853e-10,1.49967008953325e-10,4.05752178982686e-08
"THBS1","Thrombospondin-1",-2.43,"Up in X1H",8.982,-36.7768497538275,3.52156455028426e-12,22.12,38,1.0418548722016e-09,6.05979448010294e-11,2.39038692925127e-08
"FTH1","Ferritin heavy chain",-4.29,"Up in X1H",8.961,-36.424399073852,3.88237440104723e-12,18.35,5,1.09390520623793e-09,1.72697531529795e-11,7.86039456970613e-09
"TF","Serotransferrin",1.55,"Up in X3H",8.826,35.1583836191095,5.55479369943875e-12,21.49,58,1.49398701452632e-09,2.18362364868632e-10,4.7853707886211e-08
"LSS","Lanosterol synthase",1,"Up in X3H",8.73,34.1057317853775,7.55580237433099e-12,19.57,31,1.86363357863092e-09,9.79450373448288e-10,1.13795440060112e-07
"MTTP","Microsomal triglyceride transfer protein large subunit",1.2,"Up in X3H",8.73,34.1042602426918,7.55910189067807e-12,21.07,43,1.86363357863092e-09,5.5313878601364e-10,8.31593017722224e-08
"SFXN3","Sideroflexin-3",1.08,"Up in X3H",8.706,33.7880336587938,8.30623212509369e-12,19.19,19,1.96591901936717e-09,5.08410014846567e-10,7.91647909959774e-08
"CHDH","Choline dehydrogenase, mitochondrial",0.92,"Up in X3H",8.7,33.6115298547283,8.75821800921268e-12,20.39,22,1.99316830617352e-09,1.17438974855075e-09,1.26342984403178e-07
"CEMIP","Cell migration-inducing and hyaluronan-binding protein",-1.68,"Up in X1H",8.605,-32.7649943662524,1.13360313459597e-11,20.71,41,2.48427027681642e-09,2.76583243918604e-10,5.46146784848068e-08
"AHNAK","Neuroblast differentiation-associated protein AHNAK",0.93,"Up in X3H",8.59,32.4711388263441,1.24171340558252e-11,20.81,185,2.56849980753016e-09,2.37003433821325e-09,1.75293664740098e-07
"CYP51A1","Lanosterol 14-alpha demethylase",1.66,"Up in X3H",8.59,32.3427515928826,1.29245682156243e-11,19.74,24,2.56849980753016e-09,2.66719946246349e-10,5.46146784848068e-08
"SELENBP1","Methanethiol oxidase",1.58,"Up in X3H",8.59,32.3185749835574,1.30226456356101e-11,18.72,22,2.56849980753016e-09,2.8613402620061e-10,5.46146784848068e-08
"CTNND1","Catenin delta-1",0.84,"Up in X3H",8.586,32.1842239053087,1.35827637064827e-11,20.39,35,2.5925552532664e-09,3.13264946689991e-09,2.01477031474421e-07
"EMILIN1","EMILIN-1",-1.14,"Up in X1H",8.571,-31.9690815935247,1.45355594474333e-11,19.83,29,2.68771578907696e-09,8.25710872360892e-10,1.06211548516509e-07
"FGA","Fibrinogen alpha chain",-1.33,"Up in X1H",8.556,-31.768984788706,1.5487860590139e-11,24.19,43,2.7770203367228e-09,6.12569126851682e-10,8.84041835019854e-08
"ACSF2","Medium-chain acyl-CoA ligase ACSF2, mitochondrial",1.05,"Up in X3H",8.549,31.5291735470213,1.67203903681739e-11,18.98,24,2.82670142309957e-09,1.07201030579319e-09,1.17464536655154e-07
"COL18A1","Collagen alpha-1(XVIII) chain",-1.18,"Up in X1H",8.549,-31.5854457044181,1.64218027668664e-11,20.54,16,2.82670142309957e-09,4.82594452137062e-10,7.71759830620269e-08
"COL6A1","Collagen alpha-1(VI) chain",-1.97,"Up in X1H",8.527,-31.2890551643469,1.80631555763327e-11,20.13,11,2.9688803206989e-09,1.58898540150137e-10,4.08783766116678e-08
"ANPEP","Aminopeptidase N",0.88,"Up in X3H",8.454,30.686729922387,2.1982105556113e-11,21.03,43,3.51535455609515e-09,3.33252715341506e-09,2.11747861259566e-07
"ICAM1","Intercellular adhesion molecule 1",0.97,"Up in X3H",8.423,30.3891691569513,2.42551908330151e-11,21.54,21,3.77678853049869e-09,1.55203464013287e-09,1.40543234504855e-07
"VIL1","Villin-1",0.67,"Up in X3H",8.389,30.0802612233587,2.68909282478668e-11,21.17,37,4.07983647288789e-09,1.38151684273703e-08,5.04594762868826e-07
"FDFT1","Squalene synthase",2.15,"Up in X3H",8.386,29.9794267801836,2.78181018087621e-11,21.37,19,4.11499271006114e-09,3.1224866120812e-10,5.56277594940283e-08
