"Genes","ProtDesc","logFC","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val"
"HBB","Hemoglobin subunit beta",-2.03,"Up in X3",7.501,-33.9929831402547,5.32746561041307e-12,21.12,10,3.15226140168142e-08,5.51008128194799e-11,3.26031509452863e-07
"APOA4","Apolipoprotein A-IV",2.11,"Up in X5",7.242,29.9901317246702,1.93698604020451e-11,21.55,33,5.73057319994505e-08,2.96856242188828e-10,7.17177837702928e-07
"MKI67","Proliferation marker protein Ki-67",-3.65,"Up in X3",6.927,-26.8656312448649,6.00092552793702e-11,15.34,40,1.18358254496011e-07,4.8482530857051e-10,7.17177837702928e-07
"A1BG","Alpha-1B-glycoprotein",3.47,"Up in X5",6.738,25.0404435720138,1.23463515504253e-10,15.81,4,1.82633405309667e-07,3.79774510042269e-10,7.17177837702928e-07
"MCM3","DNA replication licensing factor MCM3",-1.68,"Up in X3",6.569,-23.5854110406698,2.27834160054966e-10,17.81,22,2.69618945009047e-07,2.54046693441065e-09,2.14742040727254e-06
"ACSM2A","Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2B, mitochondrial",1.54,"Up in X5",6.406,22.3327327005414,3.97854643259022e-10,19.7,13,3.92350987360606e-07,3.43531770262535e-09,2.25853053849269e-06
"IGHG1","Immunoglobulin heavy constant gamma 1",4.2,"Up in X5",6.299,21.0544906570415,7.25494829830101e-10,16.07,3,5.02178558089861e-07,2.1476691542783e-09,2.11795973097745e-06
"IGSF1","Immunoglobulin superfamily member 1",1.47,"Up in X5",6.299,20.9482494712257,7.63834210378359e-10,20.22,24,5.02178558089861e-07,8.02424587809457e-09,3.81726257693002e-06
"SMC4","Structural maintenance of chromosomes protein 4",-1.75,"Up in X3",6.299,-21.1182632915774,7.03495678868197e-10,16.97,16,5.02178558089861e-07,5.54291596465375e-09,2.98158488753239e-06
"NUP50","Nuclear pore complex protein Nup50",-1.14,"Up in X3",6.207,-20.3044942535111,1.04925784941022e-09,17.22,11,6.20845869496027e-07,8.386752323828e-09,3.81726257693002e-06
"CHAF1B","Chromatin assembly factor 1 subunit B",-2.61,"Up in X3",6.133,-19.7806890073382,1.36832661400796e-09,14.79,4,7.36035325007737e-07,3.22123796421006e-09,2.25853053849269e-06
"MCM6","DNA replication licensing factor MCM6",-1.94,"Up in X3",6.085,-19.3981407113077,1.66822531766711e-09,17.49,19,8.22574100386355e-07,1.12150478018807e-08,4.73995984598058e-06
"SRXN1","Sulfiredoxin-1",-0.79,"Up in X3",6.035,-18.891009028032,2.18207239249347e-09,19.38,11,9.22237310455988e-07,2.27999966767864e-08,7.93574001979676e-06
"TF","Serotransferrin",0.7,"Up in X5",6.035,18.9325304955487,2.13407829889109e-09,22.86,58,9.22237310455988e-07,1.16475476065645e-07,2.2972846396014e-05
"ARR3","Arrestin-C",-3.4,"Up in X3",5.984,-18.5468684911378,2.62849415570234e-09,15.59,1,1.03685332795272e-06,1.72261978212107e-09,2.03854825016208e-06
"MCM4","DNA replication licensing factor MCM4",-1.85,"Up in X3",5.976,-18.3958652489901,2.85513341891099e-09,17.34,19,1.05586402748102e-06,1.82873698957562e-08,6.76289797957432e-06
"HSPB1","Heat shock protein beta-1",-1.21,"Up in X3",5.92,-18.0523987770875,3.45442754558008e-09,18.66,8,1.2023439874822e-06,1.40342317921287e-08,5.53603663426839e-06
"ADH7","All-trans-retinol dehydrogenase [NAD(+)] ADH7",3.75,"Up in X5",5.9,17.8324645826746,3.90973620138354e-09,15.58,1,1.25856945066331e-06,4.35754486752794e-09,2.57835929811628e-06
"MCM7","DNA replication licensing factor MCM7",-1.85,"Up in X3",5.9,-17.774070046642,4.04137562322173e-09,18.19,20,1.25856945066331e-06,2.48868004661752e-08,8.18084435324213e-06
"LMAN1","Protein ERGIC-53",0.61,"Up in X5",5.884,17.618938499896,4.41522750180589e-09,21.92,18,1.30624505640927e-06,1.57729552182285e-07,2.75334657524817e-05
"RNASET2","Ribonuclease T2",0.84,"Up in X5",5.844,17.3758681485094,5.07928564066901e-09,20.92,12,1.43114919694469e-06,4.7858063042784e-08,1.41588079512077e-05
"SFXN3","Sideroflexin-3",0.89,"Up in X5",5.787,17.0702471138092,6.07372538616372e-09,20.28,19,1.6335560504514e-06,7.86346794334202e-08,1.86112559283019e-05
"P4HA1","Prolyl 4-hydroxylase subunit alpha-1",0.71,"Up in X5",5.741,16.8182804820976,7.05441489244288e-09,22.44,39,1.81482490950368e-06,2.00375156640039e-07,3.08283053523707e-05
"RRM1","Ribonucleoside-diphosphate reductase large subunit",-1.69,"Up in X3",5.671,-16.4809932027645,8.64806161727644e-09,17.02,13,2.13210752455936e-06,4.54170791952638e-08,1.41438346104409e-05
"COL18A1","Collagen alpha-1(XVIII) chain",0.98,"Up in X5",5.617,16.1473638239378,1.06192425177818e-08,18.74,16,2.41669453760443e-06,9.12765104852611e-08,2.03771667924271e-05
"STAU1","Double-stranded RNA-binding protein Staufen homolog 1",-0.55,"Up in X3",5.617,-16.1887792953918,1.03497771864674e-08,20.35,17,2.41669453760443e-06,3.30985524454157e-07,3.84008107489264e-05
"CCT7","T-complex protein 1 subunit eta",-0.57,"Up in X3",5.586,-15.9159884272636,1.22729489412905e-08,21.28,31,2.5935371030577e-06,5.30143220844589e-07,4.78126821107277e-05
"CKB","Creatine kinase B-type",-2.35,"Up in X3",5.586,-15.9404392514647,1.2085557198972e-08,17.96,9,2.5935371030577e-06,5.10351669802909e-08,1.43797658582086e-05
"MTTP","Microsomal triglyceride transfer protein large subunit",0.67,"Up in X5",5.554,15.7449756907334,1.36758226911271e-08,22.44,43,2.79033940908272e-06,3.65032076250446e-07,3.99980517624795e-05
"FGB","Fibrinogen beta chain",1,"Up in X5",5.552,15.6829232400958,1.42274218894551e-08,21.39,28,2.80612184399687e-06,1.39596388548091e-07,2.58122447199705e-05
