Genes,ProtDesc,X3_vs_X3H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
FN1,Fibronectin,4.41,Up in X3H,12.35,105.833450857506,7.54863150086785e-17,21.7,127,4.46652525906351e-13,6.325910314143401e-15,3.7430411328786495e-11,4.41
A1BG,Alpha-1B-glycoprotein,4.87,Up in X3H,9.84,54.7986922907047,6.14500291181301e-14,16.51,4,1.44488500398221e-10,1.6546297125478699e-13,4.89522200457286e-10,4.87
FGB,Fibrinogen beta chain,2.58,Up in X3H,9.84,53.8192342700906,7.38180581941013e-14,22.19,28,1.44488500398221e-10,2.2925766067156996e-12,3.3912939454842e-9,2.58
VTN,Vitronectin,4.6,Up in X3H,9.84,52.3568455262229,9.76768635445132e-14,20.67,13,1.44488500398221e-10,1.26740506172662e-12,2.4997452500788e-9,4.6
FGG,Fibrinogen gamma chain,2.19,Up in X3H,9.243,44.7336698872863,4.83128523934717e-13,22.27,39,5.717342952243441e-10,1.3330511446733698e-11,1.04497180649478e-8,2.19
ANGPTL8,Angiopoietin-like protein 8,3.57,Up in X3H,8.771,37.2718067917661,3.07550808569201e-12,18.31,5,1.69528494511034e-9,1.30591490900462e-11,1.04497180649478e-8,3.57
CLU,Clusterin,5.41,Up in X3H,8.771,38.5480344241484,2.18645238085618e-12,19.68,19,1.69528494511034e-9,2.04477199108694e-11,1.34432398569572e-8,5.41
COL18A1,Collagen alpha-1(XVIII) chain,1.7,Up in X3H,8.771,37.1819822724833,3.1516198066948995e-12,19.1,16,1.69528494511034e-9,5.950632592699469e-11,3.14668905347181e-8,1.7
FGA,Fibrinogen alpha chain,2.16,Up in X3H,8.771,38.2344009044615,2.37520301829592e-12,22.44,43,1.69528494511034e-9,4.53847419082199e-11,2.68541517870937e-8,2.16
S,Large envelope protein,6.99,Up in X3H,8.771,38.5072951800399,2.2100126483910797e-12,17.87,4,1.69528494511034e-9,1.3629733067562599e-11,1.04497180649478e-8,6.99
SERPINA7,Thyroxine-binding globulin,4.36,Up in X3H,8.771,37.8123764120953,2.65798004592059e-12,15.54,5,1.69528494511034e-9,1.4128400290617298e-11,1.04497180649478e-8,4.36
