"Genes","ProtDesc","X1_vs_X3","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","Comparison","X1H_vs_X3H","X3_vs_X5","X3H_vs_X5H"
"FTL","Ferritin light chain",-5.11,"Up in X1",8.905,-45.7499269079278,3.84596964020671e-13,20.35,12,1.24352280676928e-09,3.94450253828298e-12,2.33396215190204e-08,"X1 vs X3 Up",NA,NA,NA
"FN1","Fibronectin",-1.91,"Up in X1",8.219,-33.8466318124826,8.16188492713672e-12,20.45,127,6.0367341392335e-09,1.58377261508654e-10,1.17139782043338e-07,"X1 vs X3 Up",NA,NA,NA
"DDX21","ATP-dependent RNA helicase DDX50;Nucleolar RNA helicase 2",-1.16,"Up in X1",7.797,-28.5642414059746,4.53124962245227e-11,21.07,36,1.59639466631273e-08,1.59181510993797e-09,4.09511739369693e-07,"X1 vs X3 Up",NA,NA,NA
"KPNA2","Importin subunit alpha-1",-1.9,"Up in X1",7.797,-28.7058659821954,4.31078118604769e-11,19.87,19,1.59639466631273e-08,4.86263169674845e-10,2.39768264580505e-07,"X1 vs X3 Up",NA,NA,NA
"RIF1","Telomere-associated protein RIF1",-1.34,"Up in X1",7.797,-29.0020316298196,3.88679866496707e-11,17.19,18,1.59639466631273e-08,7.3665519394224e-10,2.92923727987029e-07,"X1 vs X3 Up",NA,NA,NA
"MKI67","Proliferation marker protein Ki-67",-2.01,"Up in X1",7.662,-27.5071927183591,6.62661250447943e-11,18.17,40,2.17831478827804e-08,7.42581700153022e-10,2.92923727987029e-07,"X1 vs X3 Up",NA,NA,NA
"TOP2A","DNA topoisomerase 2-alpha;DNA topoisomerase 2-alpha;DNA topoisomerase 2-beta",-1.49,"Up in X1",7.634,-27.0466789699849,7.85511407993216e-11,19.99,10,2.32393550054793e-08,5.8037023498788e-10,2.64157744647945e-07,"X1 vs X3 Up",NA,NA,NA
"FTH1","Ferritin heavy chain",-4.48,"Up in X1",7.597,-26.2817734558758,1.04854295774988e-10,18.17,5,2.52907572875287e-08,4.76826811669029e-10,2.39768264580505e-07,"X1 vs X3 Up",NA,NA,NA
"POLRMT","DNA-directed RNA polymerase, mitochondrial",-1.03,"Up in X1",7.443,-24.7865583442112,1.88965883464167e-10,18.45,23,3.60681010470153e-08,4.65875960284676e-09,8.05552797350784e-07,"X1 vs X3 Up",NA,NA,NA
"SQSTM1","Sequestosome-1",-2.56,"Up in X1",7.114,-22.5822180784991,4.8103891961541e-10,19.39,10,7.69272239828211e-08,2.60884317022728e-09,6.17461001529393e-07,"X1 vs X3 Up",NA,NA,NA
"CKAP5","Cytoskeleton-associated protein 5",-0.64,"Up in X1",6.775,-20.1104982732946,1.53216946413621e-09,19,37,1.67886050357295e-07,9.27312424025168e-08,4.38952609036554e-06,"X1 vs X3 Up",NA,NA,NA
"NOLC1","Nucleolar and coiled-body phosphoprotein 1",-1.1,"Up in X1",6.727,-19.8164791257361,1.77441097368108e-09,20.58,12,1.87485530915553e-07,1.30722822461582e-08,1.35840574662929e-06,"X1 vs X3 Up",NA,NA,NA
"WDR74","WD repeat-containing protein 74",-1.09,"Up in X1",6.722,-19.7569646133022,1.82838443648214e-09,18.44,9,1.89799135274821e-07,8.54580689206777e-09,1.05468045329367e-06,"X1 vs X3 Up",NA,NA,NA
"DDX56","Probable ATP-dependent RNA helicase DDX56",-0.65,"Up in X1",6.683,-19.3845601913389,2.20980917294341e-09,18.85,14,2.07546680576288e-07,4.65259559963452e-08,2.80353752418039e-06,"X1 vs X3 Up",NA,NA,NA
"GNL3","Guanine nucleotide-binding protein-like 3",-0.63,"Up in X1",6.597,-18.7967815974793,3.00152768939287e-09,20.56,22,2.52969744222588e-07,1.04313924585172e-07,4.64079317120651e-06,"X1 vs X3 Up",NA,NA,NA
"CAPRIN1","Caprin-1",-0.7,"Up in X1",6.521,-18.2959478669739,3.92472223179481e-09,19.23,9,3.01591966825063e-07,1.74434705598835e-08,1.47447164718329e-06,"X1 vs X3 Up",NA,NA,NA
"DNMT1","DNA (cytosine-5)-methyltransferase 1",-1.26,"Up in X1",6.514,-18.1682301270269,4.20718744791483e-09,17.83,19,3.05857867264842e-07,3.09494708643168e-08,2.11821528554403e-06,"X1 vs X3 Up",NA,NA,NA
"GEMIN5","Gem-associated protein 5",-0.77,"Up in X1",6.419,-17.6116458670996,5.72677654245923e-09,17.83,27,3.80734121367767e-07,1.00722245071283e-07,4.54941621440291e-06,"X1 vs X3 Up",NA,NA,NA
