"Description","p.adjust","name"
"Spliceosome",1.65623338241954e-28,"Up1Hvs5H"
"ATP-dependent chromatin remodeling",8.93242367662401e-12,"Up1Hvs5H"
"Ribosome",4.58471608423372e-10,"Up1Hvs5H"
"Ribosome biogenesis in eukaryotes",7.31136343639997e-10,"Up1Hvs5H"
"Complement and coagulation cascades",7.20819281578237e-09,"Up1Hvs5H"
"Cholesterol metabolism",8.74865605797788e-09,"Up1Hvs5H"
"Coronavirus disease - COVID-19",1.11532552315633e-08,"Up1Hvs5H"
"Nucleocytoplasmic transport",1.64800473854888e-08,"Up1Hvs5H"
"ECM-receptor interaction",5.13838090210693e-08,"Up1Hvs5H"
"RNA degradation",8.31668717256871e-06,"Up1Hvs5H"
"DNA replication",0.000550891853927092,"Up1Hvs5H"
"mRNA surveillance pathway",0.00095610315517249,"Up1Hvs5H"
"Mismatch repair",0.00122495645607038,"Up1Hvs5H"
"Nucleotide excision repair",0.0034068362568223,"Up1Hvs5H"
"Base excision repair",0.00365402803235614,"Up1Hvs5H"
"Focal adhesion",0.00601412802633523,"Up1Hvs5H"
"RNA polymerase",0.0261069519237545,"Up1Hvs5H"
"Phagosome",0.0283508968309045,"Up1Hvs5H"
"Antifolate resistance",0.0405471256468805,"Up1Hvs5H"
"Vitamin digestion and absorption",0.0409353363831713,"Up1Hvs5H"
"Biosynthesis of cofactors",9.50036284094912e-09,"Down1Hvs5H"
"Shigellosis",1.6962651071174e-08,"Down1Hvs5H"
"Pyruvate metabolism",1.01650782460666e-06,"Down1Hvs5H"
"Purine metabolism",3.0241408463592e-06,"Down1Hvs5H"
"Nucleotide metabolism",3.0241408463592e-06,"Down1Hvs5H"
"Endocytosis",3.86211658663495e-06,"Down1Hvs5H"
"Glutathione metabolism",3.86211658663495e-06,"Down1Hvs5H"
"Autophagy - animal",6.23551715037217e-06,"Down1Hvs5H"
"Insulin signaling pathway",8.55438442822418e-06,"Down1Hvs5H"
"Glycolysis / Gluconeogenesis",1.39266618923953e-05,"Down1Hvs5H"
"Valine, leucine and isoleucine degradation",1.52658838937343e-05,"Down1Hvs5H"
"Amino sugar and nucleotide sugar metabolism",2.00173390064899e-05,"Down1Hvs5H"
"Steroid biosynthesis",2.26004340395941e-05,"Down1Hvs5H"
"Protein processing in endoplasmic reticulum",2.30659157652832e-05,"Down1Hvs5H"
"Carbon metabolism",2.30659157652832e-05,"Down1Hvs5H"
"Nicotinate and nicotinamide metabolism",2.94431956233696e-05,"Down1Hvs5H"
"Cysteine and methionine metabolism",3.84900251408465e-05,"Down1Hvs5H"
"Yersinia infection",3.84900251408465e-05,"Down1Hvs5H"
"Salmonella infection",3.84900251408465e-05,"Down1Hvs5H"
"Insulin resistance",4.49759121916072e-05,"Down1Hvs5H"
"Pentose phosphate pathway",7.24919258902132e-05,"Down1Hvs5H"
"Terpenoid backbone biosynthesis",8.0310417854473e-05,"Down1Hvs5H"
"Tyrosine metabolism",8.26421458782096e-05,"Down1Hvs5H"
"Biosynthesis of nucleotide sugars",0.000115458678120872,"Down1Hvs5H"
"Sulfur metabolism",0.000141129221610207,"Down1Hvs5H"
"Selenocompound metabolism",0.000176131067567803,"Down1Hvs5H"
"Human immunodeficiency virus 1 infection",0.000246614529583855,"Down1Hvs5H"
"T cell receptor signaling pathway",0.000326191109459486,"Down1Hvs5H"
"Lipid and atherosclerosis",0.000326191109459486,"Down1Hvs5H"
"ErbB signaling pathway",0.000355573326075092,"Down1Hvs5H"
"Propanoate metabolism",0.000439988956614265,"Down1Hvs5H"
"Longevity regulating pathway",0.000711676295570569,"Down1Hvs5H"
"Longevity regulating pathway - multiple species",0.000928737931122318,"Down1Hvs5H"
"C-type lectin receptor signaling pathway",0.00103618297781739,"Down1Hvs5H"
"Neurotrophin signaling pathway",0.00138530495277539,"Down1Hvs5H"
"Human cytomegalovirus infection",0.00161159486464394,"Down1Hvs5H"
"Pancreatic cancer",0.00161159486464394,"Down1Hvs5H"
"Other glycan degradation",0.00176459101454011,"Down1Hvs5H"
"Autophagy - other",0.00176459101454011,"Down1Hvs5H"
"Apoptosis - multiple species",0.00176459101454011,"Down1Hvs5H"
"RIG-I-like receptor signaling pathway",0.0017672163141824,"Down1Hvs5H"
"Drug metabolism - other enzymes",0.00289339230549814,"Down1Hvs5H"
"Biosynthesis of amino acids",0.00342315743870155,"Down1Hvs5H"
"Pathogenic Escherichia coli infection",0.00342315743870155,"Down1Hvs5H"
"AMPK signaling pathway",0.00354696612237723,"Down1Hvs5H"
"Alcoholic liver disease",0.00364956930860204,"Down1Hvs5H"
"Peroxisome",0.00423597142955556,"Down1Hvs5H"
"Colorectal cancer",0.00640615819871676,"Down1Hvs5H"
"Fatty acid degradation",0.00640615819871676,"Down1Hvs5H"
"Hepatitis B",0.00640615819871676,"Down1Hvs5H"
"Non-alcoholic fatty liver disease",0.00640615819871676,"Down1Hvs5H"
"Histidine metabolism",0.00653044757482152,"Down1Hvs5H"
"Chemical carcinogenesis - reactive oxygen species",0.00724693361388633,"Down1Hvs5H"
"NOD-like receptor signaling pathway",0.00731891618282125,"Down1Hvs5H"
"Apoptosis",0.00767716226426536,"Down1Hvs5H"
"Chronic myeloid leukemia",0.00887906801378973,"Down1Hvs5H"
"FoxO signaling pathway",0.00930142672893377,"Down1Hvs5H"
"Fructose and mannose metabolism",0.00930142672893377,"Down1Hvs5H"
"Pyrimidine metabolism",0.00999746397072165,"Down1Hvs5H"
"EGFR tyrosine kinase inhibitor resistance",0.012908626358758,"Down1Hvs5H"
"Ubiquitin mediated proteolysis",0.0130666932539237,"Down1Hvs5H"
"Kaposi sarcoma-associated herpesvirus infection",0.0130666932539237,"Down1Hvs5H"
"Platinum drug resistance",0.0133992560344559,"Down1Hvs5H"
"HIF-1 signaling pathway",0.0168401146854523,"Down1Hvs5H"
"PD-L1 expression and PD-1 checkpoint pathway in cancer",0.0184347269691437,"Down1Hvs5H"
"Legionellosis",0.0185560296117424,"Down1Hvs5H"
"Adipocytokine signaling pathway",0.0212437451375076,"Down1Hvs5H"
"Endocrine resistance",0.0225889472440767,"Down1Hvs5H"
"Growth hormone synthesis, secretion and action",0.0236894995436882,"Down1Hvs5H"
"Endometrial cancer",0.0240954394567511,"Down1Hvs5H"
"Non-small cell lung cancer",0.026365239933104,"Down1Hvs5H"
"Glucagon signaling pathway",0.026365239933104,"Down1Hvs5H"
"AGE-RAGE signaling pathway in diabetic complications",0.0264058806350244,"Down1Hvs5H"
"Proteoglycans in cancer",0.0264058806350244,"Down1Hvs5H"
"Fatty acid biosynthesis",0.0313329150217423,"Down1Hvs5H"
"Acute myeloid leukemia",0.0313329150217423,"Down1Hvs5H"
"Tryptophan metabolism",0.0369080812048616,"Down1Hvs5H"
"mTOR signaling pathway",0.0370131561805404,"Down1Hvs5H"
"Antifolate resistance",0.0374580750277739,"Down1Hvs5H"
"Glycosaminoglycan degradation",0.0397787250202223,"Down1Hvs5H"
"B cell receptor signaling pathway",0.0427991917057421,"Down1Hvs5H"
"Epithelial cell signaling in Helicobacter pylori infection",0.0427991917057421,"Down1Hvs5H"
"Alanine, aspartate and glutamate metabolism",0.0427991917057421,"Down1Hvs5H"
