"Genes","ProtDesc","X1H_vs_H5H","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val","SharedSignificant","unchanged","backgrdnd"
"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein",-2.9,"Up in X1H",11.136,-74.3170172567488,1.23553017096707e-15,20.06,86,7.31063202161216e-12,3.10144149596857e-13,3.67024586632921e-10,FALSE,FALSE,FALSE
"FABP1","Fatty acid-binding protein, liver",3.13,"Up in X5H",10.827,60.9685102016648,9.83419246884045e-15,23.76,8,1.48781999325593e-11,9.46589387702955e-14,3.23816999557256e-10,TRUE,FALSE,FALSE
"TOP2A","DNA topoisomerase 2-alpha;DNA topoisomerase 2-alpha;DNA topoisomerase 2-beta",-2.77,"Up in X1H",10.827,-60.8376841118193,1.00579347186475e-14,19.68,10,1.48781999325593e-11,2.18906202168163e-13,3.23816999557256e-10,TRUE,FALSE,FALSE
"C3","Complement C3",-2.06,"Up in X1H",10.775,-58.0532998321153,1.64269341982993e-14,23.63,101,1.67956650544237e-11,4.70122996388704e-12,2.72822710884491e-09,TRUE,FALSE,FALSE
"COL6A2","Collagen alpha-2(VI) chain",-3.38,"Up in X1H",10.631,-55.2316661665649,2.76745758687239e-14,18.43,7,2.33929236307485e-11,1.87135490607571e-13,3.23816999557256e-10,FALSE,FALSE,FALSE
"FN1","Fibronectin",-2.29,"Up in X1H",10.55,-52.9696352929966,4.28692195204002e-14,24.75,127,2.81841302113565e-11,5.32492159845936e-12,2.72822710884491e-09,TRUE,FALSE,FALSE
"DPYSL2","Dihydropyrimidinase-related protein 2",1.6,"Up in X5H",10.475,50.6894765092205,6.79317191296197e-14,21.28,29,3.34959985074966e-11,1.98234107053172e-11,5.9990164538386e-09,FALSE,FALSE,FALSE
"FGA","Fibrinogen alpha chain",-1.24,"Up in X1H",10.475,-51.1345926250402,6.19943568564544e-14,24.24,43,3.34959985074966e-11,8.80970458207111e-11,1.20789487724455e-08,TRUE,FALSE,FALSE
"LAMC1","Laminin subunit gamma-1",-2.33,"Up in X1H",10.475,-50.7032387590527,6.77390867513503e-14,18.53,30,3.34959985074966e-11,5.5329939675746e-12,2.72822710884491e-09,FALSE,FALSE,FALSE
"FGB","Fibrinogen beta chain",-1.77,"Up in X1H",10.036,-45.6725021713573,2.02002328874434e-13,24.26,28,9.19421369192327e-11,2.36946427975773e-11,6.29870953460762e-09,TRUE,FALSE,FALSE
"PSAP","Prosaposin",-1.44,"Up in X1H",10.012,-45.1102494362188,2.29920879189398e-13,22.26,20,9.71744172974047e-11,3.88428418034775e-11,8.20832481968486e-09,FALSE,TRUE,FALSE
"C4BPA","C4b-binding protein alpha chain",-3.53,"Up in X1H",9.908,-43.5240149685049,3.34206773511391e-13,21.37,24,1.23593842429181e-10,8.04923254078642e-12,3.40195063884523e-09,FALSE,FALSE,FALSE
"TGFBI","Transforming growth factor-beta-induced protein ig-h3",-2.8,"Up in X1H",9.764,-41.5287292657705,5.45595705774817e-13,21.13,24,1.7233321342196e-10,1.55443327448795e-11,5.41034216773248e-09,FALSE,FALSE,FALSE
"TKFC","Triokinase/FMN cyclase",1.8,"Up in X5H",9.758,41.2175908870786,5.90162996048961e-13,22.12,33,1.74599722381085e-10,4.70133973966656e-11,9.27260907986901e-09,TRUE,FALSE,FALSE
"S","Large envelope protein",-3.58,"Up in X1H",9.731,-40.778837973181,6.59925149403255e-13,22.54,4,1.85941767096146e-10,6.44564302668412e-13,6.35647829814833e-10,FALSE,FALSE,FALSE
"GBE1","1,4-alpha-glucan-branching enzyme",2.13,"Up in X5H",9.713,40.0886948958878,7.88630135399525e-13,19.64,25,1.93857137181064e-10,3.30176421039696e-11,7.81461553316752e-09,TRUE,FALSE,FALSE
"IGSF1","Immunoglobulin superfamily member 1",3.3,"Up in X5H",9.713,39.9434988797876,8.19068519440019e-13,18.79,24,1.93857137181064e-10,1.77459698766163e-11,5.83349465332992e-09,TRUE,FALSE,FALSE
"KPNA2","Importin subunit alpha-1",-2.64,"Up in X1H",9.713,-40.0893361488602,7.88498482940608e-13,19,19,1.93857137181064e-10,2.02772230989981e-11,5.9990164538386e-09,TRUE,FALSE,FALSE
"LAMB1","Laminin subunit beta-1",-1.63,"Up in X1H",9.695,-39.4956041956837,9.21360338261024e-13,19.48,31,2.01914411907055e-10,8.1195650927634e-11,1.20108666634703e-08,FALSE,FALSE,FALSE
"ANXA4","Annexin A4",2.12,"Up in X5H",9.593,38.4832579813535,1.2080634579439e-12,22.02,34,2.55289695737646e-10,5.01898144950224e-11,9.42962513202107e-09,TRUE,FALSE,FALSE
"VWA1","von Willebrand factor A domain-containing protein 1",-3.46,"Up in X1H",9.573,-38.0589632388209,1.35617230145626e-12,18.05,8,2.67482383590556e-10,1.35540505557538e-11,5.01245732114969e-09,FALSE,FALSE,FALSE
"FGG","Fibrinogen gamma chain",-1.55,"Up in X1H",9.552,-37.7691149595556,1.46873619419152e-12,23.94,39,2.80339098742944e-10,1.37779244676624e-10,1.53818828443696e-08,FALSE,FALSE,FALSE
"GALM","Galactose mutarotase",2.12,"Up in X5H",9.426,36.3074879175885,2.21646842990426e-12,20.37,17,3.74709819992671e-10,5.66040628489246e-11,9.4682952914849e-09,FALSE,FALSE,FALSE
"UTP20","Small subunit processome component 20 homolog",-1.3,"Up in X1H",9.416,-36.1255348533394,2.33563115439426e-12,18.52,35,3.83886931681968e-10,3.15274965879205e-10,2.56711616901454e-08,FALSE,TRUE,FALSE
"APLP2","Amyloid-like protein 2",-2.21,"Up in X1H",9.414,-36.0151894495242,2.41130205629084e-12,18.66,11,3.85612818028998e-10,3.52962212504446e-11,7.91832843131581e-09,TRUE,FALSE,FALSE
"HEATR1","HEAT repeat-containing protein 1",-1.3,"Up in X1H",9.379,-35.6508032217187,2.68088117764496e-12,19.53,43,4.1744141916119e-10,3.66931374644686e-10,2.84688435613597e-08,FALSE,TRUE,FALSE
"PES1","Pescadillo homolog",-1.25,"Up in X1H",9.378,-35.3801542241421,2.90244746080348e-12,19.35,15,4.1887272257498e-10,1.67867086269941e-10,1.74257815694604e-08,FALSE,TRUE,FALSE
"SELENBP1","Methanethiol oxidase",1.74,"Up in X5H",9.378,35.4291961401052,2.86085658717506e-12,18.8,22,4.1887272257498e-10,1.16594383874194e-10,1.40793667221144e-08,FALSE,FALSE,FALSE
"SIRT2","NAD-dependent protein deacetylase sirtuin-2",2.34,"Up in X5H",9.378,35.3951915497578,2.88962486791947e-12,15.79,6,4.1887272257498e-10,7.16694826212435e-12,3.26206406669152e-09,FALSE,FALSE,FALSE
"WDR46","WD repeat-containing protein 46",-1.74,"Up in X1H",9.365,-35.1969484908472,3.06377367231606e-12,18.36,15,4.31627352835575e-10,8.58547990666875e-11,1.20789487724455e-08,TRUE,FALSE,FALSE
"ACSM2A","Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2B, mitochondrial",2.74,"Up in X5H",9.315,34.7337281959973,3.51719331283142e-12,18.07,13,4.83982158884267e-10,5.25904393031427e-11,9.42962513202107e-09,TRUE,FALSE,FALSE
"TPI1","Triosephosphate isomerase",1.37,"Up in X5H",9.167,33.3299995026654,5.40454366341478e-12,23.58,33,6.80397550136708e-10,4.17840815067452e-10,3.05230136142483e-08,FALSE,FALSE,FALSE
"PLG","Plasminogen",-2.97,"Up in X1H",9.094,-32.7274515928308,6.53464403744193e-12,20.14,22,8.05531016032165e-10,1.04741332735532e-10,1.31862652297051e-08,FALSE,FALSE,FALSE
"CYB5R3","NADH-cytochrome b5 reductase 3",0.99,"Up in X5H",9.083,32.3822722498886,7.29687003068141e-12,23.26,19,8.26526547187382e-10,9.76759181444179e-10,4.99370684381364e-08,FALSE,TRUE,FALSE
"DDX27","Probable ATP-dependent RNA helicase DDX27",-1.19,"Up in X1H",9.083,-32.374102111981,7.31605195748623e-12,20.14,26,8.26526547187382e-10,6.91551408901208e-10,4.21846359429737e-08,FALSE,TRUE,FALSE
"IDI1","Isopentenyl-diphosphate Delta-isomerase 1",1.52,"Up in X5H",9.083,32.3490373220199,7.37524446910997e-12,19.47,9,8.26526547187382e-10,5.76066639333203e-11,9.4682952914849e-09,FALSE,FALSE,FALSE
"MTHFD2","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",-1.89,"Up in X1H",9.083,-32.5582237588434,6.89684207245986e-12,19.68,7,8.26526547187382e-10,2.44837450221354e-11,6.29870953460762e-09,TRUE,FALSE,FALSE
"RSL1D1","Ribosomal L1 domain-containing protein 1",-1.17,"Up in X1H",9.083,-32.3075506199304,7.47437360877988e-12,21.77,22,8.26526547187382e-10,6.41686536377772e-10,4.03921195292264e-08,FALSE,TRUE,FALSE
"CYP51A1","Lanosterol 14-alpha demethylase",1.74,"Up in X5H",9.08,32.1372080866481,7.89695321994048e-12,19.78,24,8.31089984707852e-10,2.50855851897726e-10,2.26522729233906e-08,FALSE,FALSE,FALSE
"EXOSC10","Exosome component 10",-1.19,"Up in X1H",9.08,-32.0948273130854,8.0061059875524e-12,19,22,8.31089984707852e-10,6.30022495073249e-10,4.00843344446066e-08,FALSE,TRUE,FALSE
"NOP2","Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase",-1.23,"Up in X1H",9.08,-32.0965917223065,8.00152891235294e-12,20.59,23,8.31089984707852e-10,5.87481747864074e-10,3.9057634855188e-08,FALSE,TRUE,FALSE
"FTH1","Ferritin heavy chain",-4.9,"Up in X1H",9.057,-31.8348508046988,8.71289666127063e-12,18.05,5,8.77670976756491e-10,5.96888408474773e-11,9.54537489985198e-09,TRUE,FALSE,FALSE
